run,relation,precision,recall,f1,tp,fp,fn
SYS-B_Llama-3.1-8B-Instruct,AT_COMPANY,0.9184,0.8824,0.9,45,4,6
SYS-B_Llama-3.1-8B-Instruct,AT_INSTITUTION,0.75,0.6,0.6667,15,5,10
SYS-B_Llama-3.1-8B-Instruct,HAS_CERTIFICATION,0.7391,0.85,0.7907,17,6,3
SYS-B_Llama-3.1-8B-Instruct,HAS_EDUCATION,0.75,0.625,0.6818,15,5,9
SYS-B_Llama-3.1-8B-Instruct,HAS_EXPERIENCE,0.92,0.8519,0.8846,46,4,8
SYS-B_Llama-3.1-8B-Instruct,HAS_PROJECT,0.0,0.0,0.0,0,0,22
SYS-B_Llama-3.1-8B-Instruct,HAS_SKILL,0.8655,0.8178,0.841,193,30,43
SYS-B_Llama-3.1-8B-Instruct,PROJECT_USED_SKILL,0.0,0.0,0.0,0,0,99
SYS-B_Llama-3.1-8B-Instruct,SPEAKS,0.375,0.4688,0.4167,15,25,17
SYS-B_Llama-3.1-8B-Instruct,USED_SKILL,0.8182,0.6258,0.7092,189,42,113
SYS-B_Qwen2.5-7B-Instruct,AT_COMPANY,0.9899,0.9378,0.9631,196,2,13
SYS-B_Qwen2.5-7B-Instruct,AT_INSTITUTION,0.9294,0.8061,0.8634,79,6,19
SYS-B_Qwen2.5-7B-Instruct,HAS_CERTIFICATION,0.9205,0.8438,0.8804,81,7,15
SYS-B_Qwen2.5-7B-Instruct,HAS_EDUCATION,0.7961,0.8367,0.8159,82,21,16
SYS-B_Qwen2.5-7B-Instruct,HAS_EXPERIENCE,0.9707,0.9206,0.945,232,7,20
SYS-B_Qwen2.5-7B-Instruct,HAS_PROJECT,1.0,0.0941,0.172,8,0,77
SYS-B_Qwen2.5-7B-Instruct,HAS_SKILL,0.9014,0.92,0.9106,932,102,81
SYS-B_Qwen2.5-7B-Instruct,PROJECT_USED_SKILL,1.0,0.0886,0.1627,31,0,319
SYS-B_Qwen2.5-7B-Instruct,SPEAKS,0.9444,0.9784,0.9611,136,8,3
SYS-B_Qwen2.5-7B-Instruct,USED_SKILL,0.7168,0.779,0.7466,1015,401,288
